COUNTY,Date,CASE_STATUS,Cases,Deaths,Cases.Cumulative,Deaths.Cumulative,Updated
Alcona,7/25/20,Confirmed,0,0,23,1,2020/08/01 12:26:06
Alcona,7/26/20,Confirmed,1,0,24,1,2020/08/01 12:26:06
Alcona,7/27/20,Confirmed,0,0,24,1,2020/08/01 12:26:06
Alcona,7/28/20,Confirmed,0,0,24,1,2020/08/01 12:26:06
Alcona,7/29/20,Confirmed,0,0,24,1,2020/08/01 12:26:06
Alcona,7/30/20,Confirmed,0,0,24,1,2020/08/01 12:26:06
Alcona,7/31/20,Confirmed,0,0,24,1,2020/08/01 12:26:06
Alcona,8/1/20,Confirmed,0,0,24,1,2020/08/01 12:26:06
Alger,3/1/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/2/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/3/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/4/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/5/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/6/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/7/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/8/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/9/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/10/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/11/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/12/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/13/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/14/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/15/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/16/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/17/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/18/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/19/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/20/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/21/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/22/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/23/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/24/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/25/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/26/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/27/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/28/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/29/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/30/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,3/31/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/1/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/2/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/3/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/4/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/5/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/6/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/7/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/8/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/9/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/10/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/11/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/12/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/13/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/14/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/15/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/16/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/17/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/18/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/19/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/20/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/21/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/22/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/23/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/24/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/25/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/26/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/27/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/28/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/29/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,4/30/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/1/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/2/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/3/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/4/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/5/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/6/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/7/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/8/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/9/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/10/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/11/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/12/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/13/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/14/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/15/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/16/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/17/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/18/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/19/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/20/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/21/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/22/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/23/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/24/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/25/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/26/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
Alger,5/27/20,Confirmed,0,0,0,0,2020/08/01 12:26:06
